Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)"
2020-07-22,Google,TienTran,Discovery,409205,22238,0,950,0,0,0,1,1,499000.0,499000,409205.0,1,18401.160176274847,430.7421052631579,0.0
2020-07-22,Google,TienTran,PerMax,209518,9146,0,113,0,0,0,2,2,998000.0,998000,104759.0,1,22908.156571178657,1854.141592920354,0.0
2020-07-22,Google,TienTran,Guu-Search,35836,430,0,15,0,0,0,0,0,0.0,0,0.0,0,83339.53488372093,2389.0666666666666,0.0
2020-07-22,Google,TienTran,Guu-Discovery,153909,7300,0,354,0,0,0,2,2,998000.0,998000,76954.5,1,21083.424657534248,434.771186440678,0.0
2020-07-22,Google,TienTran,Guu-PerMax,248085,8101,0,214,0,0,0,0,0,0.0,0,0.0,0,30623.99703740279,1159.2757009345794,0.0
2020-07-22,Google,DucVu,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-23,FB,DucVu,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-23,FB,DucVu,Mess,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-23,FB,DucVu,Brand,760044,210893,137893,267,0,0,0,0,0,0.0,0,0.0,0,3603.931851697306,2846.6067415730336,0.0
2020-07-23,FB,NgocNgo,CVS,98999,1703,1629,6,0,0,0,7,5,2775000.0,2775000,14142.714285714286,1,58132.11978860833,16499.833333333332,0.0
2020-07-23,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-23,FB,GiangPhan,CVS,2772345,40189,36372,257,14,16,0,25,24,11954304.347826088,11477000,110893.8,1,68982.68182836099,10787.334630350197,173271.5625
2020-07-23,FB,AnhNguyen08,CVS,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-23,FB,TungTran,CVS,125691,1729,1656,2,1,0,0,0,0,0.0,0,0.0,0,72695.77790630421,62845.5,0.0
2020-07-23,FB,AnhTrinh,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-23,FB,YenNguyen02,CVS,0,13845,12412,37,4,5,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-23,FB,ThuHoang,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-23,Google,TienTran,Search,385537,7355,0,704,0,0,0,0,0,0.0,0,0.0,0,52418.35486063902,547.6377840909091,0.0
2020-07-23,Google,TienTran,Discovery,392096,21027,0,852,0,0,0,3,3,1497000.0,1497000,130698.66666666669,1,18647.263042754552,460.206572769953,0.0
2020-07-23,Google,TienTran,PerMax,133386,7308,0,53,0,0,0,0,0,0.0,0,0.0,0,18252.052545155995,2516.7169811320755,0.0
2020-07-23,Google,TienTran,Guu-Search,11846,507,0,11,0,0,0,1,1,499000.0,499000,11846.0,1,23364.89151873768,1076.909090909091,0.0
2020-07-23,Google,TienTran,Guu-Discovery,96871,4130,0,175,0,0,0,1,1,499000.0,499000,96871.0,1,23455.44794188862,553.5485714285714,0.0
2020-07-23,Google,TienTran,Guu-PerMax,153147,7690,0,60,0,0,0,3,3,1497000.0,1497000,51049.0,1,19915.084525357608,2552.45,0.0
2020-07-23,Google,DucVu,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-24,FB,DucVu,CVS,0,0,0,0,0,0,0,1,1,779000.0,0,0.0,1,0.0,0.0,0.0
2020-07-24,FB,DucVu,Mess,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-24,FB,DucVu,Brand,644785,180632,124299,235,0,0,0,0,0,0.0,0,0.0,0,3569.605606979937,2743.7659574468084,0.0
